"area","day","SO2","CO","O3","NO2","PM10","PM2.5"
"경북","20160907",0.00428026348338979,0.56594291473533,0.0358332653678167,0.0136225855088993,55.1270439372688,31.2553977031055
"경북","20160908",0.00370786570697509,0.446220180533029,0.0399975880915901,0.0100972121026604,42.1309608710651,24.5933731981347
"경북","20160909",0.00361174651933637,0.460202685974668,0.0358842301311807,0.0101484218781012,42.3928802475986,26.1814489496937
"경북","20160910",0.00353524111247419,0.457226861198533,0.0278912037037037,0.010812221210266,39.7018307071761,25.382975691311
"경북","20160911",0.00350862229656891,0.355744355756895,0.0252916569573072,0.00709161935841419,32.2990529293984,21.9292343914086
"경북","20160912",0.00303107444580752,0.400424408679053,0.0243633773791284,0.0116520782735524,29.0768307071761,20.4315366741572
"경북","20160913",0.00353726230065815,0.388941391257336,0.0299396497557031,0.00978743245262387,29.1324304445604,19.0656956768867
"경북","20160914",0.00312071681536005,0.367335930620451,0.0267962768775773,0.00921478951591025,29.3418880489296,20.5333759939429
"경북","20160915",0.00337534489052458,0.44603294742753,0.027986014017516,0.00897492739284296,35.2558504164933,23.3386934402402
"경북","20160916",0.00300428163017486,0.466648173072632,0.0232638888888889,0.0095789571945331,41.5980535247977,26.6674096760101
"경북","20160917",0.00306394481617789,0.402064839739298,0.0278726851851852,0.00855715062702136,25.9395218463544,19.1558606660685
"경북","20160918",0.00371990740740741,0.491879654554113,0.0326898148148148,0.00889817015749607,28.8712237638602,19.5980153598306
"경북","20160919",0.00375312111383727,0.37092595708153,0.0281087283307797,0.00910297384079287,29.1960547155963,18.6975523968676
"경북","20160920",0.00394878200190831,0.439894064769762,0.0304906727752241,0.0109928883318936,32.8095027324366,19.4613660933592
"경북","20160921",0.00384872296568912,0.398062785587863,0.0300276806841826,0.0121010949198122,39.9973922167248,24.5053475748406
"경북","20160922",0.00394218555691863,0.481892516367284,0.0253587477494987,0.0133641947477517,42.3357225730616,26.7530578241583
"경북","20160923",0.00362326155719125,0.407130684745391,0.0263101172196686,0.0108605282327386,36.2496186678821,24.5054352993042
"경북","20160924",0.00369565933360595,0.440722247146706,0.0267152777777778,0.0111194563342305,32.5800488838832,23.8456504167509
"경북","20160925",0.00358940933360595,0.479379654554113,0.0248148148148148,0.0112148368241627,33.894863698698,24.3226526533974
"경북","20160926",0.00434125652206252,0.556892516367284,0.0173957071116597,0.013606914085759,38.8998828126158,25.9338013607072
"경북","20160927",0.00321544866857498,0.439313297567942,0.017585512217115,0.0121922834441732,29.054887041551,23.6442239316633
"경북","20160928",0.00335196215196477,0.46464920949503,0.0214929196245224,0.0118377856197391,30.6393667368345,23.4962011041774
"경북","20160929",0.0035304887470109,0.444272152228035,0.0230692502572542,0.0102889379673656,22.4958261274017,19.2649326678217
"경북","20160930",0.00324085104085366,0.419381702474427,0.0122241875000946,0.0132408421872509,23.357392995544,19.3341014068092
"경북","20161001",0.00326805555555556,0.440758241530223,0.0145046199202701,0.0110381218372874,25.9125148849827,21.3920344375107
"경북","20161002",0.00345728933496903,0.456982005923802,0.0206712962962963,0.00939909608342199,28.8631468962095,22.9614538178227
"경북","20161003",0.00347407407407407,0.392305056037719,0.0143333139146143,0.00974377200934792,26.7736259960938,21.6396193661661
"경북","20161004",0.00355502578404794,0.399115762549664,0.0273446938014981,0.0102109709565779,32.6356044394388,21.5354777636319
"경북","20161005",0.0032905014869338,0.393912052614839,0.0267544451517989,0.0104333824118101,21.3326869102431,19.4754554953076
"경북","20161006",0.00347453237364176,0.436665130726431,0.0278147371399387,0.0117186402041523,32.7697090622975,22.570137325523
"경북","20161007",0.00337736296977836,0.396592086843635,0.0240601366383876,0.0111192079031821,30.4900280449074,21.9290714745478
"경북","20161008",0.00317824074074074,0.390046296296296,0.0315601851851852,0.0086400462962963,18.8163727519676,21.1193750399452
"경북","20161009",0.0032762148891615,0.398148148148148,0.0315740740740741,0.00713912037037037,23.5841123019097,20.4871924862426
"경북","20161010",0.00347834793192347,0.401235090266514,0.021377110918265,0.0127420620822535,25.4175339989005,20.7163716849755
"경북","20161011",0.00332742511492773,0.394297332718695,0.0194350395447925,0.013222254351132,28.2558422643229,21.6745671655804
"경북","20161012",0.00411718400245354,0.488392491442801,0.0295647662680173,0.0154594856809598,49.5652263900174,27.0909706588563
"경북","20161013",0.00350613192756162,0.430733541864037,0.0235045907921916,0.0164595752376839,40.448317196412,25.4845017094411
"경북","20161014",0.00382418126525681,0.502181076882315,0.028652593299947,0.0188465075386541,54.0984569478299,29.7254429632414
"경북","20161015",0.00366481170588463,0.581944444444444,0.0295625,0.0170085175065623,65.1960023815972,35.6997669551526
"경북","20161016",0.00313500963099271,0.479398148148148,0.0215,0.0132583553426812,40.4680041677952,27.7417719876073
"경북","20161017",0.00328888111656343,0.404284470905524,0.0264327150206182,0.0128239964071361,25.3847591981193,21.4153329704535
"경북","20161018",0.00330693822658407,0.47787552132676,0.0243910677726705,0.0151137216652269,49.1941212328993,28.4407834013503
"경북","20161019",0.00336816741013357,0.503311736703223,0.0243517547582567,0.0150743275649035,45.6987287716146,27.5471270301033
"경북","20161020",0.00407505437282391,0.491221204493186,0.0348078121142133,0.014693951122796,57.8958554242477,30.4985535151909
"경북","20161021",0.0032770693431475,0.348441378795094,0.0309767353395377,0.0111496857917997,36.4799898170718,22.0379053670427
"경북","20161022",0.00345694288997935,0.346803507635241,0.0245740740740741,0.0109521053426812,27.3669091936053,19.9590387464781
"경북","20161023",0.00360312422276745,0.364349291951459,0.0312222028035032,0.00853372368913925,23.1065035723958,19.3595393056398
"경북","20161024",0.00353824726280326,0.335545284798381,0.0246711797839821,0.0111596394955034,21.2758966290799,18.6743917166532
"경북","20161025",0.00346967281699574,0.422709372871292,0.0171643518518519,0.0146845127500887,21.3684450398438,19.4822370228912
"경북","20161026",0.00317024608007162,0.439580773432941,0.0190068376414898,0.0154846344357224,30.301749076331,22.5888438250349
"경북","20161027",0.00317776845098722,0.41981791785089,0.0216874126157644,0.0125146425313719,36.934105095978,23.2947370228912
"경북","20161028",0.0030277156326284,0.390724807047098,0.0227476463477471,0.0131287679615232,24.6150943176505,19.3549096760101
"경북","20161029",0.00339375,0.431300935272607,0.0247430555555556,0.0125312720093479,41.0394402155093,24.4243039921897
"경북","20161030",0.00336973340768002,0.386168733280343,0.0243587962962963,0.0128391423797183,34.5490889590568,22.6675600608048
"경북","20161031",0.00361423533387856,0.422578194839186,0.0147592398405402,0.0182521053426812,36.4622502671297,23.2993165242559
"경북","20161101",0.00334912689243289,0.328224807047098,0.0280947326389362,0.0121892218168805,28.2636319500869,20.2716139388755
"경북","20161102",0.00363182015414569,0.40044702926932,0.0257173692773238,0.016610323820386,33.104688696441,21.3711760400449
"경북","20161103",0.00437661259804491,0.537809164340589,0.0214810542696629,0.0204226075182472,52.7936803608507,28.7185235829294
"경북","20161104",0.00447753852397083,0.600329225030463,0.0228237439558506,0.0217437297608764,57.8758673322338,30.4153079063211
"경북","20161105",0.00445416666666667,0.603240740740741,0.027946565072069,0.0198636574074074,58.4217741442419,31.0262310364389
"경북","20161106",0.00352418903758227,0.450912552132676,0.0284417315458896,0.0117666937357955,38.6586642239294,26.4729526994995
"경북","20161107",0.00375792474319428,0.478412040152597,0.0241938327547951,0.0155680927442462,38.9252574119213,25.1790714745478
"경북","20161108",0.00346052230338431,0.49033539994701,0.0301589843108992,0.0133789470749713,43.5854133002605,27.528959409439
